,slug,name,positions,age,team,games_played,minutes_played,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,year,min_year,exp,player,allstar,salary
0,afflaar01,Arron Afflalo,CENTER,24,ATLANTA_HAWKS,82,2221,10.9,0.576,0.426,0.168,3.1,9.9,6.5,9.3,1.0,1.0,10.5,14.0,2.8,1.4,4.3,0.092,0.8,-0.5,0.3,1.3,2010,2009,1,0,0,1086240.0
1,afflaar01,Arron Afflalo,CENTER,25,CHARLOTTE_BOBCATS,69,2324,13.6,0.62,0.396,0.26,2.3,9.9,6.2,10.9,0.7,1.0,9.2,14.8,4.8,1.4,6.2,0.128,2.4,-0.2,2.1,2.4,2011,2009,2,0,0,1959577.0
2,afflaar01,Arron Afflalo,POINT_GUARD,26,DALLAS_MAVERICKS,62,2086,14.7,0.584,0.316,0.353,2.3,8.5,5.5,11.1,0.9,0.5,9.5,19.1,4.7,0.6,5.3,0.121,2.5,-1.6,0.8,1.5,2012,2009,3,0,0,7562500.0
3,afflaar01,Arron Afflalo,POINT_GUARD,27,HOUSTON_ROCKETS,64,2307,13.0,0.527,0.265,0.246,1.4,10.3,5.8,14.6,0.9,0.4,12.1,22.5,1.5,0.5,2.0,0.042,-0.3,-2.0,-2.3,-0.2,2013,2009,4,0,0,7750000.0
4,afflaar01,Arron Afflalo,POWER_FORWARD,28,LOS_ANGELES_LAKERS,73,2552,16.0,0.574,0.297,0.332,1.4,10.2,5.8,16.9,0.7,0.1,11.2,23.3,4.3,1.0,5.3,0.099,1.7,-2.3,-0.6,0.9,2014,2009,5,0,0,7312500.0
5,afflaar01,Arron Afflalo,POWER_FORWARD,29,MILWAUKEE_BUCKS,53,1750,11.7,0.533,0.37,0.23,1.3,10.2,5.6,9.3,0.9,0.2,10.3,19.9,1.4,0.4,1.8,0.05,0.0,-1.6,-1.6,0.2,2015,2009,6,0,0,7750000.0
6,afflaar01,Arron Afflalo,POWER_FORWARD,29,MILWAUKEE_BUCKS,25,752,8.2,0.533,0.396,0.207,0.9,8.5,4.8,5.5,0.6,0.2,11.8,16.7,0.2,0.5,0.8,0.049,-1.5,-0.8,-2.3,-0.1,2015,2009,6,0,0,7750000.0
7,afflaar01,Arron Afflalo,SHOOTING_GUARD,30,NEW_YORK_KNICKS,71,2371,10.9,0.531,0.298,0.164,1.1,11.0,6.1,9.9,0.5,0.3,8.7,17.9,1.8,0.9,2.7,0.055,-0.6,-1.8,-2.4,-0.2,2016,2009,7,0,0,8000000.0
8,afflaar01,Arron Afflalo,SHOOTING_GUARD,31,PHILADELPHIA_76ERS,61,1580,8.9,0.559,0.36,0.221,0.7,8.4,4.6,7.4,0.7,0.3,8.4,14.4,1.2,0.2,1.4,0.043,-1.4,-2.1,-3.5,-0.6,2017,2009,8,0,0,12500000.0
9,afflaar01,Arron Afflalo,SMALL_FORWARD,32,SAN_ANTONIO_SPURS,53,682,5.8,0.516,0.432,0.16,0.6,10.1,5.3,6.2,0.3,1.1,10.8,12.5,-0.1,0.2,0.1,0.009,-4.1,-1.8,-5.8,-0.7,2018,2009,9,0,0,1500000.0
10,afflaar01,Arron Afflalo,SMALL_FORWARD,32,SAN_ANTONIO_SPURS,53,682,5.8,0.516,0.432,0.16,0.6,10.1,5.3,6.2,0.3,1.1,10.8,12.5,-0.1,0.2,0.1,0.009,-4.1,-1.8,-5.8,-0.7,2018,2009,9,0,0,1471382.0
11,ajincal01,Alexis Ajinça,CENTER,21,ATLANTA_HAWKS,6,30,6.3,0.479,0.0,0.1,4.1,11.8,8.0,0.0,1.8,2.7,16.1,19.3,-0.1,0.0,0.0,-0.013,-8.5,-2.0,-10.4,-0.1,2010,2009,1,0,0,1372080.0
12,ajincal01,Alexis Ajinça,CENTER,22,CHARLOTTE_BOBCATS,10,75,12.8,0.435,0.219,0.094,8.1,18.0,13.3,4.3,2.1,5.1,2.9,21.4,0.0,0.1,0.1,0.084,-3.6,1.5,-2.1,0.0,2011,2009,2,0,0,1467840.0
13,ajincal01,Alexis Ajinça,CENTER,22,CHARLOTTE_BOBCATS,24,265,12.0,0.53,0.267,0.149,5.2,22.5,13.6,4.9,1.6,4.0,13.6,21.1,0.0,0.2,0.2,0.042,-2.9,-0.8,-3.8,-0.1,2011,2009,2,0,0,1467840.0
15,ajincal01,Alexis Ajinça,POWER_FORWARD,26,MILWAUKEE_BUCKS,68,957,19.9,0.595,0.0,0.301,12.4,25.0,18.7,8.2,1.2,4.0,15.6,21.1,1.9,1.2,3.2,0.159,-0.5,0.6,0.2,0.5,2015,2009,6,0,0,981084.0
16,ajincal01,Alexis Ajinça,SHOOTING_GUARD,27,NEW_YORK_KNICKS,59,861,13.8,0.514,0.003,0.197,9.3,25.9,17.3,5.8,1.1,3.4,13.6,20.4,0.2,0.9,1.0,0.058,-4.3,-0.2,-4.5,-0.5,2016,2009,7,0,0,4300000.0
17,ajincal01,Alexis Ajinça,SHOOTING_GUARD,28,PHILADELPHIA_76ERS,39,584,12.9,0.529,0.022,0.225,8.3,23.8,16.0,3.1,1.7,3.1,13.7,17.2,0.0,0.9,1.0,0.08,-5.1,1.0,-4.1,-0.3,2017,2009,8,0,0,4600000.0
18,aldrila01,LaMarcus Aldridge,CENTER,24,ATLANTA_HAWKS,78,2922,18.2,0.535,0.014,0.26,8.1,18.6,13.3,9.9,1.3,1.3,7.4,22.9,5.5,3.3,8.8,0.145,0.9,0.6,1.6,2.6,2010,2009,1,0,0,5844827.0
19,aldrila01,LaMarcus Aldridge,CENTER,25,CHARLOTTE_BOBCATS,81,3211,21.5,0.549,0.016,0.314,10.1,17.2,13.5,10.1,1.4,2.4,8.7,25.7,7.6,3.5,11.1,0.166,1.9,0.5,2.4,3.5,2011,2009,2,0,0,11244000.0
20,aldrila01,LaMarcus Aldridge,POINT_GUARD,26,DALLAS_MAVERICKS,55,1994,22.7,0.56,0.012,0.291,8.6,17.5,12.9,13.2,1.3,1.7,9.5,27.0,5.4,1.6,7.0,0.169,2.7,-0.2,2.4,2.2,2012,2009,3,LaMarcus Aldridge,1,12372000.0
21,aldrila01,LaMarcus Aldridge,POINT_GUARD,27,HOUSTON_ROCKETS,74,2790,20.4,0.53,0.011,0.264,7.2,20.9,14.0,13.0,1.2,2.5,8.9,26.5,4.8,2.3,7.2,0.124,0.3,0.5,0.8,2.0,2013,2009,4,LaMarcus Aldridge,1,13500000.0
22,aldrila01,LaMarcus Aldridge,POWER_FORWARD,28,LOS_ANGELES_LAKERS,69,2498,21.8,0.507,0.011,0.253,7.2,25.5,16.5,13.0,1.3,1.9,7.2,29.8,4.0,3.5,7.5,0.144,-0.4,0.7,0.3,1.5,2014,2009,5,LaMarcus Aldridge,1,14128000.0
23,aldrila01,LaMarcus Aldridge,POWER_FORWARD,29,MILWAUKEE_BUCKS,71,2512,22.8,0.528,0.074,0.256,7.7,22.9,15.5,9.2,1.0,1.9,7.2,30.2,4.9,3.7,8.6,0.165,0.3,0.0,0.3,1.4,2015,2009,6,LaMarcus Aldridge,1,16006000.0
24,aldrila01,LaMarcus Aldridge,SHOOTING_GUARD,30,NEW_YORK_KNICKS,74,2261,22.4,0.565,0.015,0.289,9.2,22.2,15.9,8.1,0.9,2.8,7.8,25.9,5.6,4.5,10.1,0.215,0.7,1.1,1.8,2.2,2016,2009,7,LaMarcus Aldridge,1,19500000.0
25,aldrila01,LaMarcus Aldridge,SHOOTING_GUARD,31,PHILADELPHIA_76ERS,72,2335,18.6,0.532,0.053,0.258,8.5,16.6,12.7,9.9,1.0,3.0,7.7,24.5,3.5,3.7,7.2,0.149,-0.3,1.3,1.0,1.8,2017,2009,8,0,0,20575005.0
26,aldrila01,LaMarcus Aldridge,SMALL_FORWARD,32,SAN_ANTONIO_SPURS,75,2509,25.0,0.57,0.068,0.296,10.8,17.3,14.0,11.3,0.9,3.0,6.8,29.1,7.4,3.5,10.9,0.209,3.0,0.3,3.3,3.3,2018,2009,9,LaMarcus Aldridge,1,21461010.0
27,alexajo01,Joe Alexander,CENTER,23,ATLANTA_HAWKS,8,29,2.8,0.273,0.167,0.5,7.8,11.3,9.6,9.3,1.8,2.6,0.0,11.3,0.0,0.0,0.0,0.03,-5.2,1.5,-3.7,0.0,2010,2009,1,0,0,2583360.0
28,allenma01,Malik Allen,CENTER,31,ATLANTA_HAWKS,51,456,5.9,0.431,0.052,0.112,9.2,11.5,10.4,5.1,1.2,0.8,15.3,14.0,-0.3,0.3,0.1,0.009,-4.2,-0.8,-5.0,-0.3,2010,2009,1,0,0,1300000.0
29,allenma01,Malik Allen,CENTER,32,CHARLOTTE_BOBCATS,18,178,3.3,0.361,0.0,0.065,8.1,12.8,10.5,3.3,0.3,1.7,8.6,9.1,-0.1,0.2,0.2,0.046,-5.3,1.4,-3.9,-0.1,2011,2009,2,0,0,1229255.0
30,allenra02,Ray Allen*,CENTER,34,ATLANTA_HAWKS,80,2819,15.2,0.601,0.41,0.26,2.0,8.8,5.5,12.3,1.2,0.7,10.6,20.2,5.1,2.9,7.9,0.135,2.3,-0.7,1.7,2.6,2010,2009,1,0,0,18776860.0
31,allenra02,Ray Allen*,CENTER,35,CHARLOTTE_BOBCATS,80,2890,16.4,0.615,0.387,0.224,2.3,9.0,5.8,12.7,1.4,0.4,9.8,19.8,5.8,4.2,10.0,0.166,3.2,0.4,3.6,4.1,2011,2009,2,0,0,10000000.0
32,allenra02,Ray Allen*,POINT_GUARD,36,DALLAS_MAVERICKS,46,1565,14.8,0.607,0.475,0.215,1.1,9.2,5.3,11.8,1.7,0.4,11.2,18.6,2.5,2.2,4.7,0.145,2.4,0.3,2.6,1.8,2012,2009,3,0,0,10000000.0
33,allenra02,Ray Allen*,POINT_GUARD,37,HOUSTON_ROCKETS,79,2035,14.7,0.599,0.51,0.243,2.6,10.1,6.6,10.2,1.7,0.6,12.5,19.3,3.4,1.9,5.4,0.126,1.7,-1.5,0.2,1.1,2013,2009,4,0,0,3090000.0
34,allenra02,Ray Allen*,POWER_FORWARD,38,LOS_ANGELES_LAKERS,73,1936,12.8,0.59,0.569,0.214,1.6,11.4,6.7,11.1,1.5,0.4,12.4,16.8,2.5,1.5,4.1,0.101,1.3,-1.2,0.1,1.0,2014,2009,5,0,0,3229050.0
35,allento01,Tony Allen,CENTER,28,ATLANTA_HAWKS,54,889,14.2,0.54,0.02,0.47,7.4,12.5,10.0,13.0,3.5,1.7,17.8,19.6,0.2,1.6,1.9,0.1,-1.8,2.6,0.8,0.6,2010,2009,1,0,0,2500000.0
36,allento01,Tony Allen,CENTER,29,CHARLOTTE_BOBCATS,72,1494,18.3,0.562,0.047,0.37,5.5,9.9,7.7,10.9,4.5,2.4,13.1,19.9,2.0,2.7,4.7,0.152,0.7,2.9,3.6,2.1,2011,2009,2,0,0,3000000.0
37,allento01,Tony Allen,POINT_GUARD,30,DALLAS_MAVERICKS,58,1525,15.7,0.541,0.058,0.391,7.4,10.6,8.9,8.3,3.6,1.8,15.2,18.4,1.7,2.5,4.2,0.131,0.0,2.5,2.5,1.7,2012,2009,3,0,0,3150000.0
38,allento01,Tony Allen,POINT_GUARD,31,HOUSTON_ROCKETS,79,2109,13.2,0.489,0.038,0.293,6.6,13.8,10.2,7.6,3.1,1.7,11.5,17.8,1.0,4.1,5.1,0.115,-1.6,2.9,1.3,1.8,2013,2009,4,0,0,3300000.0
39,allento01,Tony Allen,POWER_FORWARD,32,LOS_ANGELES_LAKERS,55,1278,15.6,0.531,0.114,0.293,7.3,12.0,9.6,11.7,3.8,1.2,16.2,20.1,0.5,2.1,2.7,0.1,-0.1,2.4,2.3,1.4,2014,2009,5,0,0,4494382.0
40,allento01,Tony Allen,POWER_FORWARD,33,MILWAUKEE_BUCKS,63,1648,14.6,0.528,0.064,0.277,7.2,12.2,9.7,8.1,4.1,1.5,14.4,16.6,0.9,3.2,4.1,0.119,-0.4,3.7,3.3,2.2,2015,2009,6,0,0,4831461.0
41,allento01,Tony Allen,SHOOTING_GUARD,34,NEW_YORK_KNICKS,64,1620,12.9,0.505,0.09,0.294,7.0,14.1,10.4,6.9,3.5,1.0,12.8,16.8,0.5,1.9,2.4,0.072,-1.5,1.4,-0.1,0.8,2016,2009,7,0,0,5168539.0
42,allento01,Tony Allen,SHOOTING_GUARD,35,PHILADELPHIA_76ERS,71,1914,13.3,0.493,0.091,0.218,9.6,13.8,11.7,8.4,3.1,1.4,13.3,17.9,0.2,2.9,3.1,0.077,-1.8,2.4,0.6,1.3,2017,2009,8,0,0,5505618.0
43,allento01,Tony Allen,SMALL_FORWARD,36,SAN_ANTONIO_SPURS,22,273,8.7,0.514,0.132,0.231,8.2,10.4,9.3,4.6,1.9,0.9,15.9,18.9,-0.2,0.2,0.1,0.017,-4.0,-1.3,-5.2,-0.2,2018,2009,9,0,0,1471382.0
44,alstora01,Rafer Alston,CENTER,33,ATLANTA_HAWKS,27,766,8.7,0.436,0.314,0.195,1.3,10.4,5.6,23.1,1.9,0.5,16.9,21.7,-1.2,0.4,-0.8,-0.051,-3.3,-1.7,-5.0,-0.6,2010,2009,1,0,0,4300000.0
45,alstora01,Rafer Alston,CENTER,33,ATLANTA_HAWKS,27,766,8.7,0.436,0.314,0.195,1.3,10.4,5.6,23.1,1.9,0.5,16.9,21.7,-1.2,0.4,-0.8,-0.051,-3.3,-1.7,-5.0,-0.6,2010,2009,1,0,0,753133.0
46,alstora01,Rafer Alston,CENTER,33,ATLANTA_HAWKS,25,655,7.7,0.456,0.479,0.16,0.7,8.9,4.8,16.7,1.9,0.6,15.8,15.4,-0.4,0.8,0.4,0.031,-2.4,0.2,-2.3,0.0,2010,2009,1,0,0,4300000.0
47,alstora01,Rafer Alston,CENTER,33,ATLANTA_HAWKS,25,655,7.7,0.456,0.479,0.16,0.7,8.9,4.8,16.7,1.9,0.6,15.8,15.4,-0.4,0.8,0.4,0.031,-2.4,0.2,-2.3,0.0,2010,2009,1,0,0,753133.0
48,amundlo01,Lou Amundson,CENTER,27,ATLANTA_HAWKS,79,1168,14.4,0.562,0.004,0.446,13.1,19.9,16.7,3.7,1.0,4.4,14.7,14.6,1.5,1.3,2.9,0.118,-1.0,1.4,0.4,0.7,2010,2009,1,0,0,855189.0
49,amundlo01,Lou Amundson,CENTER,28,CHARLOTTE_BOBCATS,46,691,11.5,0.452,0.0,0.475,13.0,17.4,15.2,3.5,1.0,3.6,9.8,15.7,0.2,0.5,0.6,0.044,-4.0,-0.9,-4.9,-0.5,2011,2009,2,0,0,2225000.0
50,amundlo01,Lou Amundson,POINT_GUARD,29,DALLAS_MAVERICKS,60,753,11.5,0.438,0.0,0.396,14.1,19.0,16.6,3.0,1.9,4.6,15.6,17.3,-0.3,1.3,1.0,0.062,-3.9,1.2,-2.7,-0.1,2012,2009,3,0,0,2403000.0
51,amundlo01,Lou Amundson,POINT_GUARD,30,HOUSTON_ROCKETS,20,161,6.3,0.342,0.0,0.526,15.9,17.6,16.7,2.8,2.2,2.9,19.0,16.1,-0.4,0.2,-0.1,-0.038,-6.9,0.9,-5.9,-0.2,2013,2009,4,0,0,1069509.0
52,amundlo01,Lou Amundson,POINT_GUARD,30,HOUSTON_ROCKETS,1,2,0.0,0.0,0.0,0.0,56.7,0.0,28.7,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,-0.274,-9.7,-11.4,-21.1,0.0,2013,2009,4,0,0,1069509.0
53,amundlo01,Lou Amundson,POINT_GUARD,30,HOUSTON_ROCKETS,18,209,11.7,0.449,0.0,0.381,13.4,19.7,16.5,5.8,2.3,2.4,14.0,12.7,0.1,0.2,0.3,0.065,-2.4,1.3,-1.1,0.0,2013,2009,4,0,0,1069509.0
56,amundlo01,Lou Amundson,POWER_FORWARD,32,MILWAUKEE_BUCKS,12,79,3.8,0.387,0.0,0.417,7.4,21.5,14.5,8.7,0.7,0.0,26.0,11.0,-0.1,0.1,0.0,-0.011,-6.2,-0.1,-6.3,-0.1,2015,2009,6,0,0,409167.0
57,amundlo01,Lou Amundson,POWER_FORWARD,32,MILWAUKEE_BUCKS,41,858,12.5,0.444,0.004,0.337,11.6,22.0,16.7,12.6,1.3,5.0,17.0,18.0,-0.5,0.8,0.4,0.02,-3.8,2.2,-1.6,0.1,2015,2009,6,0,0,409167.0
58,amundlo01,Lou Amundson,SHOOTING_GUARD,33,NEW_YORK_KNICKS,29,204,6.7,0.401,0.0,0.509,12.5,13.7,13.1,8.8,1.5,2.6,18.8,17.7,-0.3,0.2,-0.1,-0.014,-5.3,0.4,-5.0,-0.2,2016,2009,7,0,0,1650000.0
59,anderch01,Chris Andersen,CENTER,31,ATLANTA_HAWKS,76,1695,15.8,0.631,0.012,0.94,10.1,22.7,16.4,2.8,1.3,6.3,14.3,10.8,3.2,2.7,5.9,0.166,-1.1,3.3,2.1,1.8,2010,2009,1,0,0,3650000.0
60,anderch01,Chris Andersen,CENTER,32,CHARLOTTE_BOBCATS,45,732,19.0,0.636,0.007,0.985,12.2,22.1,17.3,4.0,1.6,6.0,11.3,13.5,1.9,1.2,3.2,0.207,0.2,3.1,3.3,1.0,2011,2009,2,0,0,4533300.0
61,anderch01,Chris Andersen,POINT_GUARD,33,DALLAS_MAVERICKS,32,486,18.9,0.583,0.0,0.759,11.9,23.3,17.8,1.8,2.0,7.4,10.6,14.8,1.0,0.8,1.9,0.183,-1.2,2.6,1.4,0.4,2012,2009,3,0,0,4234000.0
62,anderch01,Chris Andersen,POINT_GUARD,34,HOUSTON_ROCKETS,42,624,17.4,0.631,0.024,0.756,11.9,21.5,17.0,4.0,1.4,5.8,12.8,14.4,1.6,1.1,2.7,0.207,-0.6,1.8,1.2,0.5,2013,2009,4,0,0,4526000.0
63,anderch01,Chris Andersen,POINT_GUARD,34,HOUSTON_ROCKETS,42,624,17.4,0.631,0.024,0.756,11.9,21.5,17.0,4.0,1.4,5.8,12.8,14.4,1.6,1.1,2.7,0.207,-0.6,1.8,1.2,0.5,2013,2009,4,0,0,699952.0
64,anderch01,Chris Andersen,POWER_FORWARD,35,LOS_ANGELES_LAKERS,72,1396,18.5,0.683,0.044,0.615,12.1,21.7,17.1,2.1,1.2,6.1,13.2,13.8,3.8,2.2,6.0,0.205,0.1,1.5,1.6,1.3,2014,2009,5,0,0,1399507.0
65,anderch01,Chris Andersen,POWER_FORWARD,36,MILWAUKEE_BUCKS,60,1132,16.1,0.622,0.063,0.551,8.2,23.2,15.9,6.1,1.2,4.6,13.5,12.3,2.1,1.5,3.6,0.151,-1.2,2.3,1.0,0.9,2015,2009,6,0,0,5375000.0
66,anderch01,Chris Andersen,SHOOTING_GUARD,37,NEW_YORK_KNICKS,7,36,17.6,0.553,0.5,0.4,9.8,18.3,14.2,12.2,1.4,6.4,14.5,17.5,0.1,0.1,0.1,0.165,0.4,2.6,3.0,0.0,2016,2009,7,0,0,5000000.0
67,anderch01,Chris Andersen,SHOOTING_GUARD,37,NEW_YORK_KNICKS,20,366,15.1,0.605,0.145,0.516,9.9,18.2,13.9,3.7,2.0,2.5,8.4,10.2,0.7,0.4,1.1,0.148,-0.4,0.9,0.6,0.2,2016,2009,7,0,0,5000000.0
68,anderch01,Chris Andersen,SHOOTING_GUARD,38,PHILADELPHIA_76ERS,12,114,11.6,0.497,0.136,0.636,9.0,20.6,15.0,5.9,2.2,5.0,15.1,13.0,0.1,0.2,0.2,0.102,-3.8,3.0,-0.9,0.0,2017,2009,8,0,0,1551659.0
69,anderda03,David Andersen,CENTER,29,ATLANTA_HAWKS,63,891,12.1,0.497,0.229,0.197,6.7,20.6,13.4,8.1,0.9,1.0,9.1,20.2,0.4,0.9,1.3,0.07,-2.5,-1.3,-3.8,-0.4,2010,2009,1,0,0,2300000.0
70,anderda03,David Andersen,CENTER,30,CHARLOTTE_BOBCATS,11,150,13.8,0.559,0.213,0.149,6.2,21.1,13.4,7.3,1.0,1.5,13.8,17.3,0.1,0.1,0.2,0.063,-1.7,-1.6,-3.3,0.0,2011,2009,2,0,0,2500000.0
71,anderda03,David Andersen,CENTER,30,CHARLOTTE_BOBCATS,29,223,8.9,0.484,0.176,0.203,6.5,20.9,13.6,4.5,0.5,2.2,14.8,20.2,-0.2,0.3,0.1,0.012,-5.4,-1.2,-6.6,-0.3,2011,2009,2,0,0,2500000.0
73,anderry01,Ryan Anderson,CENTER,21,ATLANTA_HAWKS,63,911,18.1,0.574,0.544,0.211,9.2,16.2,12.8,7.1,1.4,1.1,11.7,24.4,1.7,1.4,3.1,0.161,2.3,-1.0,1.3,0.8,2010,2009,1,0,0,1317120.0
74,anderry01,Ryan Anderson,CENTER,22,CHARLOTTE_BOBCATS,64,1424,19.0,0.591,0.65,0.223,10.8,18.1,14.5,6.2,1.1,2.1,7.8,20.4,4.0,2.5,6.4,0.216,4.1,0.2,4.4,2.3,2011,2009,2,0,0,1409040.0
75,anderry01,Ryan Anderson,POINT_GUARD,23,DALLAS_MAVERICKS,61,1964,21.2,0.589,0.557,0.226,13.0,14.7,13.8,5.1,1.4,1.0,6.4,21.2,7.0,1.9,8.9,0.219,5.9,-1.3,4.6,3.3,2012,2009,3,0,0,2244601.0
76,anderry01,Ryan Anderson,POINT_GUARD,24,HOUSTON_ROCKETS,81,2503,18.1,0.548,0.5,0.161,8.9,15.9,12.4,6.9,0.9,1.0,7.5,24.0,5.7,0.8,6.5,0.125,4.1,-2.9,1.3,2.1,2013,2009,4,0,0,8700000.0
77,anderry01,Ryan Anderson,POWER_FORWARD,25,LOS_ANGELES_LAKERS,22,795,18.8,0.572,0.463,0.175,9.5,11.3,10.4,3.6,0.7,0.7,5.0,22.9,2.2,0.1,2.3,0.138,4.3,-4.5,-0.1,0.4,2014,2009,5,0,0,8308500.0
78,anderry01,Ryan Anderson,POWER_FORWARD,26,MILWAUKEE_BUCKS,61,1675,15.6,0.524,0.492,0.207,7.3,12.7,10.0,5.4,1.0,0.9,7.2,23.4,2.6,0.9,3.5,0.1,2.0,-3.1,-1.1,0.4,2015,2009,6,0,0,8491500.0
79,anderry01,Ryan Anderson,SHOOTING_GUARD,27,NEW_YORK_KNICKS,66,2008,17.2,0.546,0.385,0.245,7.0,15.2,10.9,6.1,0.9,1.0,8.0,24.7,3.1,0.8,3.9,0.092,1.5,-2.9,-1.4,0.3,2016,2009,7,0,0,8500000.0
80,anderry01,Ryan Anderson,SHOOTING_GUARD,28,PHILADELPHIA_76ERS,72,2116,13.5,0.583,0.655,0.194,5.8,11.2,8.5,4.7,0.7,0.5,6.2,17.9,4.0,1.1,5.2,0.117,1.8,-2.6,-0.8,0.6,2017,2009,8,0,0,18735364.0
81,anderry01,Ryan Anderson,SMALL_FORWARD,29,SAN_ANTONIO_SPURS,66,1725,12.6,0.592,0.706,0.194,6.2,15.4,10.8,5.1,0.7,1.0,7.5,14.4,3.1,1.7,4.8,0.132,1.0,-0.8,0.2,1.0,2018,2009,9,0,0,19578455.0
82,anthoca01,Carmelo Anthony,CENTER,25,ATLANTA_HAWKS,69,2634,22.2,0.548,0.125,0.407,6.7,13.1,9.9,15.9,1.7,0.9,10.6,33.4,5.6,2.4,7.9,0.145,2.7,-1.3,1.4,2.3,2010,2009,1,Carmelo Anthony,1,15779912.0
83,anthoca01,Carmelo Anthony,CENTER,26,CHARLOTTE_BOBCATS,50,1774,21.2,0.547,0.13,0.431,5.2,19.3,12.4,14.3,1.2,1.3,11.0,32.5,2.8,1.9,4.7,0.127,0.9,-0.8,0.2,1.0,2011,2009,2,Carmelo Anthony,1,17149243.0
84,anthoca01,Carmelo Anthony,CENTER,26,CHARLOTTE_BOBCATS,27,977,22.8,0.575,0.233,0.351,4.8,16.5,10.6,15.3,1.3,1.1,9.4,31.0,2.6,0.6,3.2,0.157,3.5,-2.3,1.2,0.8,2011,2009,2,Carmelo Anthony,1,17149243.0
85,anthoca01,Carmelo Anthony,POINT_GUARD,27,DALLAS_MAVERICKS,55,1876,21.1,0.525,0.198,0.358,5.4,15.9,10.6,21.0,1.7,1.0,10.8,31.8,3.7,2.6,6.2,0.16,2.9,0.0,2.9,2.3,2012,2009,3,Carmelo Anthony,1,18518574.0
86,anthoca01,Carmelo Anthony,POINT_GUARD,28,HOUSTON_ROCKETS,67,2482,24.8,0.56,0.278,0.344,6.1,15.9,10.8,14.1,1.1,1.1,9.3,35.6,7.5,2.0,9.5,0.184,4.7,-2.3,2.4,2.8,2013,2009,4,Carmelo Anthony,1,19450000.0
87,anthoca01,Carmelo Anthony,POWER_FORWARD,29,LOS_ANGELES_LAKERS,77,2982,24.4,0.561,0.253,0.329,5.6,19.4,12.3,15.8,1.7,1.5,9.5,32.4,8.1,2.5,10.7,0.172,4.6,-1.0,3.6,4.2,2014,2009,5,Carmelo Anthony,1,22407474.0
88,anthoca01,Carmelo Anthony,POWER_FORWARD,30,MILWAUKEE_BUCKS,40,1428,21.5,0.531,0.222,0.294,5.7,16.0,10.7,18.0,1.5,1.0,8.9,32.2,2.2,0.6,2.9,0.097,3.5,-2.2,1.4,1.2,2015,2009,6,Carmelo Anthony,1,22458000.0
89,anthoca01,Carmelo Anthony,SHOOTING_GUARD,31,NEW_YORK_KNICKS,72,2530,20.3,0.53,0.237,0.308,4.3,19.5,12.0,21.9,1.3,1.1,10.6,29.7,3.9,2.5,6.4,0.121,2.8,-0.2,2.6,2.9,2016,2009,7,Carmelo Anthony,1,22875000.0
90,anthoca01,Carmelo Anthony,SHOOTING_GUARD,32,PHILADELPHIA_76ERS,74,2538,17.9,0.535,0.303,0.263,2.6,16.0,9.3,14.5,1.2,1.1,9.0,29.1,3.2,1.5,4.7,0.089,1.5,-2.2,-0.7,0.8,2017,2009,8,Carmelo Anthony,1,24559380.0
91,anthoca01,Carmelo Anthony,SMALL_FORWARD,33,SAN_ANTONIO_SPURS,78,2501,12.7,0.503,0.406,0.165,2.9,17.7,10.0,6.5,0.9,1.8,7.3,23.2,1.2,2.5,3.7,0.071,-1.9,-1.9,-3.8,-1.1,2018,2009,9,0,0,26243760.0
92,anthojo01,Joel Anthony,CENTER,27,ATLANTA_HAWKS,80,1322,10.2,0.546,0.0,0.579,11.0,11.1,11.1,1.3,0.8,6.7,18.4,8.7,1.0,2.0,3.1,0.111,-3.1,3.5,0.4,0.8,2010,2009,1,0,0,825497.0
93,anthojo01,Joel Anthony,CENTER,28,CHARLOTTE_BOBCATS,75,1463,7.3,0.583,0.0,0.737,9.0,12.4,10.8,2.2,0.4,5.0,21.5,5.3,1.2,2.1,3.3,0.107,-2.2,3.1,0.9,1.1,2011,2009,2,0,0,3300000.0
94,anthojo01,Joel Anthony,POINT_GUARD,29,DALLAS_MAVERICKS,64,1349,10.3,0.598,0.0,0.467,9.2,12.8,11.1,1.0,1.4,5.1,19.7,7.8,1.2,2.2,3.4,0.122,-2.1,2.8,0.7,0.9,2012,2009,3,0,0,3600000.0
95,anthojo01,Joel Anthony,POINT_GUARD,30,HOUSTON_ROCKETS,62,566,10.4,0.542,0.0,0.412,10.4,14.4,12.5,3.1,1.2,6.1,21.5,8.6,0.4,0.8,1.2,0.1,-3.0,2.7,-0.3,0.2,2013,2009,4,0,0,3750000.0
96,anthojo01,Joel Anthony,POWER_FORWARD,31,LOS_ANGELES_LAKERS,12,37,8.0,0.436,0.0,0.333,7.1,16.4,11.9,0.0,0.0,9.4,12.7,10.2,0.0,0.0,0.0,0.049,-7.3,0.8,-6.6,0.0,2014,2009,5,0,0,3800000.0
